Glottocode,Family_ID,GPGLMM_3D_Mean,GPGLMM_3D_SE,Isolate_Flag,GPGLMM_2D_Mean,GPGLMM_2D_SE,Verkerk_BRMS_Mean,Verkerk_BRMS_SE
abad1241,aust1307,1.3112771601646915,0.04716364282247351,0,1.2879695471766521,0.05410154925818765,-0.614618145738475,2.639275844248905
abau1245,sepi1257,2.0223282575167927,0.05699233687358825,0,2.0279770407172886,0.06320740970721117,0.2227621957204,2.895255624037305
abee1242,atla1278,0.9792555545885739,0.032700722269632256,0,0.9554460301430272,0.03665105152081944,-1.982183771639,2.72421778102839
abkh1244,abkh1242,2.769071414632025,0.01189896769995002,0,2.69036261593649,0.01333451867393953,3.47836126766525,3.789602014878
abua1245,nucl1708,0.11416620543183506,0.060592121912053244,0,0.10844199710547806,0.06766183086809768,-2.82654919766325,2.86515463897706
abui1241,timo1261,-0.42867003029994244,0.03233514978700346,0,-0.4030216334795509,0.036197515869025414,-1.892051341605,2.972579547555565
abun1252,abun1252,1.5806835571769735,0.027335877029943483,1,1.5332772256346687,0.03066804754782876,1.962201559905,3.251634763726935
achi1257,aust1307,-1.442817907869826,0.03183607907919574,0,-1.4667554653140735,0.03654352318830291,-2.8197126865,2.6625278373981303
acha1250,araw1281,3.074985069789781,0.04867017400419208,0,3.055991923450778,0.05425876104507298,2.07075084378025,2.8456091915558552
ache1246,tupi1275,2.959072529679521,0.03026861760977471,0,2.903230112316534,0.03460663227305066,2.3875040378165,3.0713111408040152
ache1245,narr1279,-0.4103159470233624,0.02533343232642962,0,-0.38690627156080293,0.028105852730729443,-1.32224951477075,3.004602331834645
achi1256,maya1287,-3.4449667278773703,0.04194300294281035,0,-3.3520890393323066,0.047629129250452304,-4.431289396070525,3.072827301676945
achu1248,jiva1245,0.9528107421066105,0.031298692811358504,0,0.9350816074416137,0.034550741284835276,-0.565347365085,2.858272592530065
achu1247,pala1350,-0.5100344719193293,0.023165051212034323,0,-0.4742056180916115,0.02800986987694009,-2.98765865716,3.153939448351255
acol1236,nilo1247,-1.8077837986144496,0.034027832545821535,0,-1.7682758622262564,0.038444007556354645,-3.7491318162175,2.897296560582545
adan1251,timo1261,-0.4373287937311723,0.03491017783685063,0,-0.4100006340562996,0.03877346774142623,-1.75593089975,2.939911430480245
adon1237,aust1307,-1.1555851430023316,0.04095934126662888,0,-1.187551327008325,0.045904311354566595,-2.90329308558,2.6625835482682403
adze1240,aust1307,0.1954634399853019,0.03266707713583314,0,0.15448509097452165,0.03611015964069007,-2.4915022213434996,2.649155690357575
aeky1238,kamu1264,3.4149544158921237,0.04144993908273932,0,3.3650099330786767,0.044998560479193594,1.7158845587612501,3.2452705189218998
afar1241,afro1255,0.8121795348107557,0.018748481107260583,0,0.8087704963818372,0.021597696687659013,1.1309832883175002,2.7074396170919304
aghe1239,atla1278,-1.7131196896907324,0.031933385909312745,0,-1.7147672319592882,0.035534542542152076,-4.565168084794999,2.92933936848578
aghu1255,nucl1709,3.3795280345126555,0.032496553682540265,0,3.3411257975051916,0.03591526366059529,2.0835504587,2.94000918366183
agob1244,paho1240,3.1253428235007337,0.05114290914262863,0,3.09081766433751,0.05747246644062781,1.5862531935600002,3.2190268460400553
agus1235,aust1307,-2.314593989815151,0.04144433730670606,0,-2.302640847420143,0.045891519681438654,-3.4408741028625,2.635598213388705
