Glottocode,Family_ID,GPGLMM_3D_Mean,GPGLMM_3D_SE,Isolate_Flag,GPGLMM_2D_Mean,GPGLMM_2D_SE,Verkerk_BRMS_Mean,Verkerk_BRMS_SE
abad1241,aust1307,-4.450970648597737,0.07599906269525343,0,-4.462850073314955,0.08544121765291643,-0.896483802456,3.3845221235783347
abee1242,atla1278,-4.386966277175908,0.09344401072903454,0,-4.382888346234459,0.06491570020860846,-3.53736498633225,3.6978548461322154
abkh1244,abkh1242,-10.42790955199096,0.12362982005526317,0,-10.128734439142784,0.26607294887453986,-5.61592892695975,5.018974483261109
abua1245,nucl1708,-14.214882172384385,0.44160195086460435,0,-14.02641714193096,0.32620798668649315,-4.74579327138,4.339770989383995
abun1252,abun1252,-13.13614661297726,0.3648232647815006,1,-12.952950528870069,0.30830117575726923,-4.7613316927445,4.378471389743995
achi1257,aust1307,-2.0577099542794555,0.0295606987224668,0,-2.0637165743031245,0.020592116983967904,-0.6672150111824999,3.388452095476855
acha1250,araw1281,-9.906296748965772,0.09831037698757071,0,-9.767014868142088,0.2766445720221134,-2.59352858424875,3.817626923923145
ache1246,tupi1275,-9.473685804540041,0.09693025183469717,0,-9.386126594278092,0.2247042956812311,-2.5466341100300003,3.844073086951575
ache1245,narr1279,-12.495391476363071,0.3184013183876062,0,-12.300051606996618,0.2709380420058275,-3.3596833953800003,4.5030546532982
achi1256,maya1287,-2.6358791039544327,0.019301280471459126,0,-2.648722105741043,0.016106466404158724,-1.4365678910117499,3.681474254667525
achu1248,jiva1245,-9.340761222550098,0.1229057093375295,0,-9.183464461668283,0.2768093024885948,-1.91297775867825,3.8493819929026847
achu1247,pala1350,-11.100367461158225,0.16717863465010074,0,-10.920828383648198,0.3015999665668096,-2.4387066452125,4.04303103050981
acol1236,nilo1247,-1.184861910589623,0.0214363702606457,0,-1.193812463680854,0.019133038644903802,0.5311853641225,3.37345467819035
adan1251,timo1261,-12.818060544769294,0.3148447867332607,0,-12.611013679197722,0.2934161621008606,-4.897598002483,4.419439918776435
adon1237,aust1307,-3.3996511694143545,0.04421620656846599,0,-3.3858601120669625,0.06408249547198945,-0.91965912449,3.4141646214044847
adze1240,aust1307,-4.865886211373478,0.09554964573853487,0,-4.871088180344982,0.0942480077341071,-0.82058589279575,3.425197485977715
aeky1238,kamu1264,-13.98232170462803,0.44540317240564703,0,-13.775157686718792,0.3126276060345062,-4.7100127104975,4.306991743373805
afad1236,afro1255,-2.8426018785219087,0.058272140064457155,0,-2.829163081121875,0.09554740877831504,0.9403489933764999,3.33108838638945
afar1241,afro1255,-3.667084256578825,0.11589826479930347,0,-3.63135264547193,0.10355669215788639,-0.33515881684000004,3.453695962668045
aghe1239,atla1278,-5.643247277795444,0.04444762045140766,0,-5.6298947050662616,0.06705259699518418,-3.4690954537675,3.67963084660271
aghu1255,nucl1709,-13.84284647372704,0.4351726287276402,0,-13.626153100728695,0.3073890089541013,-5.211524501805,4.254315782553425
agob1244,paho1240,-13.64740814849824,0.42018007632068616,0,-13.44246564243922,0.3046954582434517,-4.8832893681725,4.3732280495715194
agua1253,jiva1245,-9.506853282644501,0.12273506194409799,0,-9.365786166247027,0.2863242685920385,-1.89199963903,3.856139988250245
agus1235,aust1307,-1.439937968328012,0.03197799470166175,0,-1.4534145352507126,0.022700202913849284,-0.12910837604675,3.3370581702469604
agut1237,aust1307,-1.843158641829983,0.057220881600253876,0,-1.8469439306258701,0.07955204703652258,-0.015273189385,3.3722242770607354
aika1237,aika1237,-8.659281890006985,0.1556987544050572,1,-8.493854585135558,0.24510761759615604,-1.8526215079677502,3.92621017823798
