Glottocode,Family_ID,GPGLMM_3D_Mean,GPGLMM_3D_SE,Isolate_Flag,GPGLMM_2D_Mean,GPGLMM_2D_SE,Verkerk_BRMS_Mean,Verkerk_BRMS_SE
abad1241,aust1307,-2.0842395178454014,0.01688185234893813,0,-2.0723237999730006,0.020684984881955575,-2.7165373833325,2.58981286447108
abau1245,sepi1257,-0.40869687271275257,0.03876172886698768,0,-0.39425369170624347,0.04501231701195493,0.242741835913,2.7105886558631296
abee1242,atla1278,-5.025861612535293,0.04583330888158454,0,-4.86629062419239,0.05347105498579424,-4.9800234386575,3.010234561500255
abkh1244,abkh1242,0.4261754052986575,0.01910433182460942,0,0.16087421024642234,0.02748187853263338,0.4907158061925,2.91474291288912
abua1245,nucl1708,-3.4069531214385327,0.05077425462471678,0,-3.5334336200638496,0.0626364945603288,-2.1690156371175,3.01147095063232
abui1241,timo1261,-2.620425684598828,0.031965570575466104,0,-2.7023846419307205,0.03636177445128665,-2.6483691709535,3.0934509168602453
abun1252,abun1252,-2.7623330034576896,0.05452805311813173,1,-2.7923436965560398,0.06192245629104451,-1.6625466603675,3.247066339861475
achi1257,aust1307,-2.846068737105739,0.023530058684602433,0,-3.0922776105135994,0.027328836407556435,-2.5130179910802504,2.63561635551274
acha1250,araw1281,0.07077175466874976,0.020135549760938783,0,0.028405033999338497,0.02472692177738484,-0.209117130923,2.599500251678085
ache1245,narr1279,-2.2573892154932214,0.026832853122987343,0,-2.3735060233507217,0.032996889424103316,-2.35782692989875,3.1856757816197048
achi1256,maya1287,-3.038316242330157,0.014765960153471737,0,-3.1539952167046836,0.018369063124162813,-2.68593619841275,2.980181412700735
achu1248,jiva1245,1.829243696336933,0.020257945284288807,0,1.9406528650714305,0.0261220580556902,2.65093413496675,2.8530192608777947
achu1247,pala1350,1.1964174652923414,0.010099074564500654,0,1.2435467729500997,0.013422710153865182,0.72507870213,2.9997089481751003
acol1236,nilo1247,-1.9124041009527024,0.025484321931299125,0,-1.9118476530635946,0.02872815530417745,-1.8072696717702499,2.76494146988622
adan1251,timo1261,-2.622848613212729,0.03161427894960113,0,-2.7071918149165093,0.03862392915971052,-2.6661674427674997,3.076915077561295
adny1235,pama1250,2.2685525622567986,0.02895349944948025,0,2.1451620584347637,0.03282417038077064,2.79238767680175,2.8760804537988154
adon1237,aust1307,-4.0967758397282585,0.050398714400623545,0,-4.045287022052031,0.05714344336850125,-2.71503987049,2.70451945816737
adze1240,aust1307,-3.313189906893199,0.017027954033820878,0,-3.3053778891991996,0.019457484480645198,-2.9890322632675,2.6626143499631247
afar1241,afro1255,1.2637343000893724,0.02550779069844166,0,1.1606163765639343,0.028781797543141505,0.4527477157525,2.6000354202735902
aghe1239,atla1278,-4.8479886685332865,0.03639108145627049,0,-4.871175755077683,0.04309229105795127,-4.988167576015,3.033116934442705
aghu1255,nucl1709,-0.8098407653918016,0.02430028443293291,0,-0.8333074196706354,0.02938204030932433,-1.6455354734975,2.71483366748763
agob1244,paho1240,1.2224367863962406,0.02757202402432174,0,1.3310528178635783,0.03413156532769708,1.124542590135,2.904484065551765
agua1253,jiva1245,1.7906893278978555,0.012651907528093611,0,1.9008392546643411,0.016965611887318526,2.582789216429,2.87286464558838
agus1235,aust1307,-1.613988066703503,0.04848657761674097,0,-1.637979474349435,0.05659467814733511,-0.490834812934,2.5345534931998897
agut1237,aust1307,-0.9342502487172146,0.02795145943681421,0,-0.9822173321828529,0.03292289781984928,-0.8031027299169999,2.57813739512586
aime1238,bosa1245,-0.13890236007033108,0.03789357125557906,0,-0.11961893871234405,0.043928238415022094,-0.40952326886699997,2.80952836335352
musa1266,nucl1709,-0.4686963550924541,0.04216686480426459,0,-0.46024526815302247,0.04893431337862824,-0.594630496897,2.6401545912746247
aito1238,taik1256,-1.6830491181777434,0.02385882439335761,0,-1.8766958251393318,0.029550382048558612,-3.3602708184375,2.87166453214539
ayiw1239,aust1307,-4.197399573067207,0.01828429041691553,0,-4.071122365966886,0.023542379932644117,-2.622827231965,2.68587190198891
ajab1235,atla1278,-4.847876598330897,0.0342120058948124,0,-4.7790405497844874,0.04005705373658975,-4.970047527775,3.00026032501729
ajas1235,kres1240,-2.271939621110531,0.018850145443181306,0,-2.3226590638154483,0.021587679664095537,-2.373927337695,3.24285143051317
ajie1238,aust1307,-2.6827603219762857,0.026938368824886122,0,-2.71693816970341,0.031783529983548484,-1.9991799498025,2.62151737797656
west2635,maya1287,-3.3632720131272764,0.02140839532646001,0,-3.476090030298498,0.028464248781973237,-2.7117030442775,3.0079313225888997
akei1237,aust1307,-3.860744434331968,0.03402899689739089,0,-3.830813690125522,0.04083057540385242,-2.680635195845075,2.63998937496412
akha1245,sino1245,-1.59661392848786,0.033147211404573405,0,-1.5904439364527923,0.03955666525796699,-1.151043724099,2.529806779499055
akoo1248,atla1278,-4.873120166698708,0.025124478442354485,0,-4.85705486562896,0.029518813736903668,-4.8835956160675,2.877559764680485
akun1241,tupi1275,-2.1086870271836458,0.023820145923760996,0,-2.184348386291081,0.02700789731436407,-2.477083874034,2.88728218918375
alab1254,afro1255,0.9405350689822605,0.02907152113097823,0,0.9543748703477508,0.03478921796107106,1.1055930335185,2.548875028247455
alab1237,musk1252,0.07955313515763304,0.01941565352527961,0,0.0380139624862918,0.02297118248184968,0.3337717306025,2.76729797963064
alac1244,otom1299,-2.5993132720939336,0.03196790780370409,0,-2.6076038047397905,0.03742660812750237,-2.0810744569873503,2.8871567232688253
alag1248,afro1255,-2.308677683458024,0.025342746591662357,0,-2.212787505550782,0.030491235955468852,-0.456889805765,2.6119081520618
alam1246,sepi1257,-0.1306443691896097,0.04554597455283367,0,-0.10395487732395105,0.05285768990994711,0.38303372362489996,2.7775630490106
aleu1260,eski1264,1.4847541426837947,0.010515708417870886,0,1.2786550047902767,0.012643371278485601,2.1298741142925,2.9185508814291
alor1247,aust1307,-4.195320000145916,0.03713495732787091,0,-4.142264681158023,0.04399599893764186,-2.7226616676052497,2.690827749479305
aluk1238,drav1251,3.883927141720588,0.01916972611468371,0,3.8861945349429687,0.02264030949894632,5.5998920868974995,3.152388424609775
amah1246,pano1259,2.3029520712521854,0.015687330708456286,0,2.372538357757879,0.019335927473945563,3.560445819745,2.74732368841665
amam1246,kuni1270,-1.7017287069192875,0.02359489925340502,0,-1.8104142477130452,0.028128645168422457,-2.6182538120912504,2.98584847446569
amap1240,left1242,-1.5894511180976931,0.041144923621712196,0,-1.6922287399003455,0.04740661112195874,-1.7435121246755,3.0223060952953453
amar1272,aust1307,-3.8298212231674773,0.03233503373841315,0,-3.814781315683023,0.037880840799447695,-2.842061297115,2.660039013482555
amar1274,hara1260,0.6323681240700303,0.01455493152271717,0,0.7366925087137046,0.01866126759907394,1.33086680104475,3.0151920087716153
amas1236,nyim1244,1.004960643084933,0.023114745673837103,0,1.0848633553899376,0.026384309466641363,1.60723683117275,3.189243552084775
ambu1247,nduu1242,-0.3434028998877014,0.04175561663107759,0,-0.33563745308321824,0.04905902964372461,-0.7040221305975001,2.76475786274725
amdo1237,sino1245,0.7083294495184623,0.03227738823882129,0,0.6380854563752203,0.036776968425489276,1.1125521357275,2.538421643717235
amha1245,afro1255,0.13544400210574936,0.02917402885257636,0,0.11898811096915425,0.03490036677517181,0.49954136652375003,2.614067712764835
amii1238,west2434,-2.462422781659872,0.05624013020703939,0,-2.5858143608540685,0.06706916336079109,-2.728812620764775,3.022806791418075
amis1246,aust1307,-0.8747008462694823,0.04044919822835878,0,-0.8905708455832568,0.048216631902229336,0.095931713234375,2.642316401730525
hoaa1235,kxaa1236,-2.4850253176002712,0.03650206661386397,0,-2.4212025748723454,0.04053178379253876,-2.8483943721275002,3.4938222821738547
gily1242,nivk1234,2.127438379074855,0.015397196292142121,0,1.7902856740421675,0.019645237944332056,3.615688274811,3.925120609087145
anei1239,aust1307,-2.4350707810869086,0.02833524769338199,0,-2.3521274089662025,0.03529252993560773,-1.3895880809475,2.593025268484065
anem1249,anem1249,-2.724174852866625,0.025983251954632348,1,-2.771600905057859,0.030203926801331306,-1.6003902623075,3.135871415508865
anfi1235,gong1255,0.4729377066585457,0.04127964209900917,0,0.4593094884118396,0.04890350354734885,0.40623596736,2.57262406089023
anga1290,anga1289,-0.6005253433045729,0.04385174259624834,0,-0.5339218001139343,0.05205994470747948,1.5430201791575,2.85776758125535
anga1288,sino1245,1.6392195740933881,0.03627639558299697,0,1.7083708021140396,0.042802935846728486,1.640913908870925,2.696770367481215
ango1257,chib1249,-0.1059469747812953,0.02228358221299641,0,-0.15603726095135245,0.025541898814298174,-0.209781907516,2.6406658777698553
anin1240,gunw1250,0.2658421499211213,0.0465211668650712,0,0.19388630948581356,0.053425471501424814,-1.515547728152125,2.78139554239446
wara1294,more1255,0.975086050426275,0.04452199028882068,0,1.0159150770730498,0.05181480072304375,0.513647099822,2.810481474248895
anuu1241,sino1245,0.46169545129732803,0.02813554833787951,0,0.4775350538700821,0.03245246159056839,-0.6836846369355,2.584753931092575
anut1237,aust1307,-4.017932991302255,0.03129479180894353,0,-3.8467012699041954,0.03900657527238256,-2.6367757274269996,2.590357277526575
aona1235,sino1245,1.3003445805176514,0.030987444372884695,0,1.3598910009413117,0.03675850794594053,1.71381631425,2.67138583799101
aoua1234,taik1256,-4.2709690297881995,0.02856125182566245,0,-4.395558031851481,0.035823797827228616,-3.279344917226,2.90646684198038
apin1244,nucl1710,-0.4588740168248233,0.026415006451318435,0,-0.5127928341450437,0.031474091553722626,-0.7770665302985,2.73557975345617
apma1240,aust1307,-3.745960319599875,0.029196593419542713,0,-3.6919592894983095,0.03460431039862185,-2.444266598585,2.6355111059366
apma1241,kera1258,-1.7193932099027358,0.043132213511134165,0,-1.82559282210928,0.05114006514264546,-2.484475737825,3.08372851784062
apur1254,araw1281,-1.5825609344912412,0.01177944153834706,0,-1.6016200943518981,0.015067219470570992,-2.1592714772965,2.751548784346225
arak1252,aust1307,-3.8648377459355663,0.027993060870166408,0,-3.8318434818496185,0.03278506896952416,-2.6761012528917503,2.66123351792272
aram1253,more1255,0.7621756865339517,0.04955228202627656,0,0.7891893076911796,0.05665608649748292,-0.32326868464475,2.799980516474915
arao1248,pano1259,1.9830295488633713,0.05158853673538061,0,2.0491064104315155,0.06234949161004916,2.3414055459474747,2.71556757866039
arap1274,algi1248,-2.676146921893231,0.02336829359214534,0,-2.7323968032081005,0.026823416180521243,-2.5331817653562503,2.805774011173245
araw1273,tupi1275,-1.5785051038546125,0.03008344078701357,0,-1.643756308788618,0.03645670280472062,-2.2540432196762996,2.8498672681204003
arch1244,nakh1245,2.8465628552597475,0.02172896257216241,0,2.814263813312416,0.025229295866556034,3.5049893116649997,2.9229080635455
aree1239,aust1307,-2.744113148256165,0.01175731658953855,0,-2.7412741358337667,0.012713280652804118,-2.95283873644475,2.669346966296115
area1240,aust1307,-4.255668893006492,0.013267230207523299,0,-4.1865899571576435,0.01638172314845694,-2.829454975995,2.64450153799299
argo1244,afro1255,0.160464930438816,0.03150211487016494,0,0.13702139687053888,0.03795333108616477,0.51653255853675,2.619679942692165
arhu1242,chib1249,0.8736580191228338,0.03098860672907684,0,0.8393916972938573,0.038035773994105446,0.7940695468921,2.643383933942115
arig1246,atla1278,-4.714211137197038,0.026473925556154652,0,-4.703905827914511,0.030907527565429378,-5.21347137999875,3.02365586521024
arom1237,indo1319,0.09809372186603199,0.03065199113036364,0,0.27632929256761873,0.036532802793419084,-0.1334554898175,2.5848073455109
arop1243,aust1307,-3.5894697152743404,0.018930531776994382,0,-3.580397667279243,0.02279050800032025,-2.89264451283925,2.618168471606955
arop1242,aust1307,-3.665600598922066,0.030544769720713166,0,-3.6725731999874904,0.03599986979291755,-2.839822404535,2.69453583133779
aros1241,aust1307,-4.22561101939457,0.0376535386845005,0,-4.160919459309113,0.04507759198036309,-2.79790653638825,2.6486765791110054
arta1239,aust1307,-0.8729644575251547,0.046265804282225736,0,-0.873699514296479,0.05396356644066464,0.34676736796775,2.5395177858591547
asha1243,araw1281,-1.6245171728487442,0.037806439664707994,0,-1.6649226564324326,0.04421938952993039,-2.352384488683,2.72644574156014
ashe1272,araw1281,-1.580629116075078,0.01450596178925227,0,-1.6236079403827575,0.01767939035634301,-2.3508869227,2.7280541452206
asoa1238,cent2225,-2.6041456318561806,0.03768510461526991,0,-2.5715723256561507,0.044263355384671056,-1.6902140041167502,2.63676801038458
assi1247,siou1252,-0.9401156087539471,0.012365378092719804,0,-0.9519434635484241,0.015293356411251176,-1.25781244049775,2.91111512253561
asur1254,aust1305,0.24002913884476318,0.020619256994986943,0,0.12583971589447351,0.02254740758353506,-1.95721446029625,2.520717336884645
asut1235,atla1278,-3.6036548640681723,0.028772140596224478,0,-3.7376880501224345,0.03435592568098254,-4.450151050975,2.75709126548822
athp1241,sino1245,1.94859200071682,0.026130626351147348,0,1.9207884800114021,0.030229865007471574,2.0420291690735,2.65883938690175
atii1237,aust1307,-1.6263963412186666,0.0319953938804658,0,-1.6530902344980032,0.03857252775210309,-1.0293039099075,2.623282701686355
aton1241,sino1245,1.576472081312609,0.037425666491822385,0,1.5795949394376758,0.04421778837094282,0.3259534052475,2.586544466621315
auuu1241,nucl1708,-3.363618646427427,0.06513779515576208,0,-3.492730835652343,0.07729071918359393,-2.17252774005725,2.9974781981500653
aulu1238,aust1307,-3.6769967493915363,0.03314986623033498,0,-3.6426734661924995,0.0397577618803109,-2.615578055185,2.63540948671058
auye1238,nucl1709,-0.5917315554116559,0.025440285146024505,0,-0.5559206563580676,0.028515506203749364,0.2294454483575,2.68645055651821
avac1239,tupi1275,-1.0658612435598172,0.02093476174694107,0,-1.021269554016567,0.02514593202667668,-1.1429877771019998,2.796135943852015
avat1244,atla1278,-4.90729263533181,0.03472283593077937,0,-4.828647895229983,0.040730373951449246,-4.9761462883705,3.0103883432503347
katb1237,aust1307,-3.720008652328939,0.032281293037735505,0,-3.689205743227805,0.03787766239495105,-2.65470390133175,2.6364107464629303
awac1239,barb1265,0.3807500976112199,0.017198991199575894,0,0.3541149540585605,0.019193667418853415,-0.057014784980000004,2.857886673741245
awad1244,aust1307,-2.2546689872185097,0.025765406959878185,0,-2.2463955198892296,0.030000509938529065,-2.7779306153355,2.61467433926073
awad1243,indo1319,1.9673186693642046,0.028738766521205092,0,2.08799177229037,0.035423403202754125,1.85029292785775,2.70117538022757
awap1236,nucl1709,-0.26397997849229465,0.030815042807053012,0,-0.24968668847926023,0.035847027373999626,0.495273114575,2.688896273710015
awar1249,ramu1234,-1.5314538802991446,0.03857368721166713,0,-1.6230130029150833,0.04445092720279454,-2.4135688731075,3.05961939231938
awar1248,nucl1709,-0.3136879466644012,0.03306223116689641,0,-0.29020929865892886,0.038984574743870536,0.7029845018575,2.697715086590285
awet1244,tupi1275,-0.9495144885284341,0.0244308142776439,0,-0.971462176906662,0.026039310982631167,-2.39083295952425,2.861609135249865
awji1241,afro1255,-2.0463856368300686,0.034658447511882504,0,-2.1559554136786137,0.042227069756314545,-1.3947066613465,2.7621058332843003
awtu1239,sepi1257,-0.4276032692740231,0.05840836183917557,0,-0.4054870547223701,0.06846351631930474,0.41469167137749996,2.709230688867195
axam1237,aust1307,-3.639014301571031,0.03039497516819253,0,-3.6044768881255855,0.03609460036022697,-2.62164610805,2.62362767327514
axiy1235,sino1245,-1.4636658307876944,0.03572432421981803,0,-1.397734720790016,0.04290228292215388,-1.70238531695625,2.559911505611535
ayac1239,quec1387,2.160039797029974,0.02871943673228151,0,2.3164970093218082,0.03374426279357813,3.451959493035,2.803461632012935
azha1235,sino1245,-1.5026123235262916,0.03780948367305289,0,-1.4248078622564835,0.04384968802262424,-1.6893761871075,2.57024939707616
baba1264,atla1278,-4.802052871490078,0.047563853445551446,0,-4.808859440490284,0.0561575031013609,-5.007276649667499,3.0286363822649998
baba1266,atla1278,-4.804880886573807,0.04516931006981341,0,-4.805203598928573,0.05287365790768482,-4.9870634822775,3.033624036834645
bada1257,drav1251,3.900155821519513,0.023609827294038748,0,3.898408632165429,0.026733666877532886,5.577078140025,3.195497512519295
bafa1247,atla1278,-3.5947605229822988,0.02893270966738349,0,-3.561722604746876,0.03386406680922164,-4.8962508515575,2.855449362399015
bafi1243,atla1278,-4.878885424151089,0.034468883239934564,0,-4.867824158483198,0.040593284049104304,-4.8426594986975005,2.883394981105165
bafu1246,atla1278,-4.863736636496286,0.03855089654799823,0,-4.881651874207656,0.04489688609922538,-5.0029245302625,3.03214625661293
baga1273,atla1278,-4.99747173153081,0.04211040723212593,0,-4.843440353228975,0.048504420931411635,-5.27529880208,3.068440765424495
baga1272,atla1278,-4.968744887735837,0.041751387449582705,0,-4.81599251428827,0.05122446936290688,-5.2696530643214,3.07622164143405
bagi1246,cent2225,-2.854287889148755,0.02618624457640385,0,-2.9351015625531063,0.0312529764564291,-1.842607974558,2.584189361377295
bagv1239,nakh1245,2.6780441870671314,0.04074572201999295,0,2.616797789538287,0.04801286543647745,1.87931452816,2.829569501679475
baha1259,afro1255,-1.026458875341976,0.02472608776448792,0,-1.1752455801891006,0.030796373484576083,-1.53490120066,2.56823429013276
bahi1252,sino1245,2.283826749482979,0.03586851695966043,0,2.2529429470337954,0.04215575238528279,2.1224603325092497,2.67372498708239
bahn1262,aust1305,-3.1448620298462724,0.0331326696435731,0,-3.05353241634906,0.039372735729435726,-2.540152292616,2.61898456748823
baik1238,aust1307,-4.1809754498556915,0.033176202617213726,0,-4.130631123367092,0.038631859938339494,-2.713977645207125,2.715270671152635
baim1244,sino1245,0.07365789130308036,0.02811548662489008,0,0.0377054988924958,0.03265480448890166,0.740611370695,2.50968919976112
baka1272,atla1278,-4.860913883770227,0.04100146349144471,0,-4.8289573121394085,0.04711604387296446,-4.296608961285,2.813189088096595
baka1274,cent2225,-2.2309165234888066,0.043343109947347774,0,-2.2500538114710715,0.0508550637296125,-1.8410675616195,2.6207777830563748
baki1244,aust1307,-3.510099262133727,0.037284577670087436,0,-3.462023634409495,0.04351441364897083,-2.18756715926875,2.619403417269845
bala1316,aust1307,-3.0237541993918353,0.025414116422197423,0,-3.0763676258769843,0.030133817526992127,-2.582898357335,2.626182707126535
bala1311,aust1307,-1.912246400572961,0.04301199725238055,0,-1.919056085570907,0.0505891888395147,-2.0689773139799996,2.641799123200515
bala1315,aust1307,-2.5095983080111166,0.03560075036122104,0,-2.461801696202795,0.04133247927439765,-1.98993890099075,2.6589439951924048
liki1240,atla1278,-4.717322473661338,0.026808220638001073,0,-4.697389744457146,0.0322281770544402,-4.7090327621295,2.7852369453793653
bamb1270,aust1307,-2.976072712447378,0.021724282443748764,0,-2.957468242600252,0.025554315413198338,-2.02024661328975,2.664252414744635
bamb1262,maoo1243,1.2993274098770975,0.02674328882879327,0,1.3557227993689123,0.029223722187410702,1.193352457519,3.188512157992955
