Feature,Sample_Size_N,Spatial_Density,Structural_Density
0001_or_2aKA,1957,0.01190106721924234,0.0027440690594196493
0001_or_2bKA,1880,0.012320383182543906,0.004410449197739857
0005KA,1786,0.011865709329644512,0.004586560268004178
0008KA,1771,0.013141415204790298,0.004628238379159529
0015aKA,1940,0.01315642562060367,0.002773243727503283
0015bKA,1925,0.01317061317061317,0.004379404379404379
0045KA,2030,0.012707368768618577,0.0027182212597144364
0055KA,1938,0.01273660022387348,0.004327758873024524
0056KA,1833,0.011886043591887687,0.002826039827805135
0057aKA,1809,0.011807970961319265,0.0027841373271303266
0057bKA,1839,0.01163285387750948,0.0028289254521044163
0062aKA,1409,0.011473522485321633,0.005414663849280599
0062bKA,1335,0.01160767930641421,0.00344659131108603
0065_or_66KA,1786,0.011865709329644512,0.002830605926581159
0067_or_68KA,1786,0.011865709329644512,0.004586560268004178
0069KA,1753,0.01142789790235656,0.002912163622960769
0070KA,1694,0.01170316554518885,0.004744168466447369
0071KA,1678,0.011771829910810425,0.0029758287651127963
0072KA,1728,0.01159619013918377,0.0029166398593150184
0073KA,1839,0.01163285387750948,0.0028289254521044163
0074KA,1702,0.011655547887431946,0.002902142998761356
0075KA,1809,0.011807970961319265,0.0027841373271303266
0084KA,1662,0.012600241543268775,0.0028240421766134822
0087KA,1472,0.011309224721425827,0.0033066828244613248
0088KA,1539,0.011388341778686953,0.005230289034728612
0091KA,1465,0.01122829593987206,0.003306663682649807
0093KA,1947,0.01162512648916746,0.002736969570282581
0095aKA,1276,0.01169217530272297,0.003549081074436044
0095bKA,1262,0.011797293170338737,0.005860315122327637
0096KA,1277,0.01171314036866382,0.0035496596401735064
0101KA,1871,0.01150232796096914,0.002796411310260463
0107aKA,1516,0.011721831813788238,0.0032829140433832302
0107bKA,1833,0.011886043591887687,0.004519876976441131
0107cKA,1989,0.012354165212491641,0.0027040068465089178
0108KA,1540,0.012646093347847734,0.005107887564027915
0110KA,1529,0.011367488588852859,0.0032624067333472586
0116KA,2225,0.012165548460108318,0.003948751111470374
0121KA,1438,0.011432409700707412,0.005364870214275413
0125KA,1264,0.01173742445653808,0.003547911843410806
0126nKA,1500,0.01159083833666889,0.005186568823660218
0144KA,1679,0.011617960347303613,0.004724987417307396
0145KA,1696,0.012658624144264484,0.00467732509600935
0147KA,1642,0.012794105967589056,0.004824603399044431
0166KA,2020,0.012897768231503685,0.002727553587453842
0173KA,1871,0.012136836659740424,0.002804414122677398
0174KA,1840,0.01231647634584013,0.004460127195782207
0175KA,1476,0.011215837582104635,0.003274998851683432
0176KA,1544,0.01142968915275068,0.003221971866930379
