universal_feature_id,total_languages,sample_size_isolates,brms_status,gpglmm_status,brms_collapse_pct,brms_explosion_pct,gpglmm_collapse_pct,gpglmm_explosion_pct
universal_0001_or_2aka,1957,61,collapse,stable,54.1,16.4,26.2,0.0
universal_0001_or_2bka,1880,59,stable,stable,0.0,0.0,0.0,0.0
universal_0005ka,1786,57,explosion,stable,5.3,86.0,1.8,0.0
universal_0008ka,1771,57,explosion,stable,10.5,100.0,0.0,0.0
universal_0015aka,1940,61,both,stable,54.1,96.7,21.3,0.0
universal_0015bka,1925,60,both,stable,56.7,100.0,23.3,0.0
universal_0045ka,2030,65,stable,stable,0.0,0.0,1.5,0.0
universal_0055ka,1938,64,both,stable,54.7,65.6,0.0,0.0
universal_0056ka,1833,59,stable,stable,5.1,6.8,1.7,0.0
universal_0057aka,1809,49,stable,stable,14.3,12.2,6.1,0.0
universal_0057bka,1839,56,stable,stable,14.3,14.3,3.6,0.0
universal_0062aka,1409,41,stable,stable,9.8,0.0,2.4,0.0
universal_0062bka,1335,40,stable,stable,7.5,0.0,2.5,0.0
universal_0065_or_66ka,1786,57,both,stable,52.6,84.2,28.1,0.0
universal_0067_or_68ka,1786,57,collapse,stable,45.6,22.8,0.0,0.0
universal_0069ka,1753,53,collapse,stable,41.5,5.7,35.8,0.0
universal_0070ka,1694,52,stable,stable,0.0,0.0,82.7,0.0
universal_0071ka,1678,53,both,stable,62.3,49.1,26.4,0.0
universal_0072ka,1728,54,collapse,stable,44.4,9.3,57.4,0.0
universal_0073ka,1839,56,stable,stable,0.0,0.0,19.6,0.0
universal_0074ka,1702,46,explosion,stable,30.4,47.8,37.0,0.0
universal_0075ka,1809,49,stable,stable,10.2,16.3,12.2,0.0
universal_0084ka,1662,49,stable,stable,18.4,8.2,0.0,0.0
universal_0087ka,1472,41,stable,stable,29.3,14.6,48.8,0.0
universal_0088ka,1539,42,stable,stable,2.4,0.0,4.8,0.0
universal_0091ka,1465,42,stable,stable,28.6,4.8,31.0,0.0
universal_0093ka,1947,60,stable,stable,23.3,11.7,0.0,0.0
universal_0095aka,1276,37,stable,stable,16.2,0.0,2.7,0.0
universal_0095bka,1262,36,stable,stable,19.4,16.7,0.0,0.0
universal_0096ka,1277,38,stable,stable,7.9,0.0,2.6,0.0
universal_0101ka,1871,58,both,stable,79.3,67.2,29.3,0.0
universal_0107aka,1516,45,both,stable,35.6,93.3,22.2,0.0
universal_0107bka,1833,59,both,stable,49.2,96.6,16.9,0.0
universal_0107cka,1989,64,both,stable,35.9,71.9,20.3,0.0
universal_0108ka,1540,51,both,stable,43.1,96.1,9.8,0.0
universal_0110ka,1529,44,stable,stable,0.0,0.0,0.0,0.0
universal_0116ka,2225,71,stable,stable,0.0,0.0,0.0,0.0
universal_0121ka,1438,37,explosion,stable,24.3,43.2,18.9,0.0
universal_0125ka,1264,32,stable,stable,0.0,0.0,31.2,0.0
universal_0126nka,1500,38,stable,stable,5.3,26.3,5.3,0.0
universal_0144ka,1679,51,stable,stable,0.0,0.0,0.0,0.0
universal_0145ka,1696,57,both,stable,40.4,100.0,21.1,0.0
universal_0147ka,1642,57,stable,stable,0.0,0.0,0.0,0.0
universal_0166ka,2020,66,stable,stable,13.6,3.0,15.2,0.0
universal_0173ka,1871,59,collapse,stable,69.5,0.0,44.1,0.0
universal_0174ka,1840,50,stable,stable,30.0,34.0,18.0,0.0
universal_0175ka,1476,43,explosion,stable,23.3,93.0,0.0,0.0
universal_0176ka,1544,45,both,stable,60.0,91.1,2.2,0.0
universal_0177ka,1800,57,stable,stable,5.3,0.0,1.8,0.0
universal_0178ka,1779,50,collapse,stable,48.0,10.0,10.0,0.0
universal_0179aka,1729,52,stable,stable,5.8,0.0,50.0,0.0
universal_0179bka,1769,52,stable,stable,15.4,7.7,38.5,0.0
universal_0179cka,1782,57,stable,stable,0.0,0.0,0.0,61.4
universal_0183ka,1870,58,stable,stable,1.7,0.0,24.1,0.0
universal_0228ka,1992,65,stable,stable,1.5,0.0,0.0,0.0
universal_0229ka,1992,65,stable,stable,0.0,0.0,0.0,0.0
universal_0230aka,1687,56,stable,stable,0.0,0.0,0.0,0.0
universal_0230bka,1871,62,stable,stable,0.0,0.0,0.0,0.0
universal_0230cka,1737,58,stable,stable,0.0,0.0,0.0,0.0
universal_0230dka,1687,56,stable,stable,0.0,0.0,0.0,0.0
universal_0230eka,1871,62,stable,stable,6.5,0.0,0.0,0.0
universal_0230fka,1737,58,stable,stable,0.0,0.0,0.0,0.0
universal_0231aka,1687,56,stable,stable,0.0,0.0,0.0,0.0
universal_0231bka,995,24,stable,stable,0.0,0.0,0.0,0.0
universal_0232ka,1587,50,stable,stable,4.0,0.0,4.0,0.0
universal_0237aka,1765,52,stable,stable,0.0,0.0,0.0,0.0
universal_0238aka,1780,58,stable,stable,0.0,0.0,0.0,0.0
universal_0238bka,1607,51,stable,stable,0.0,0.0,0.0,0.0
universal_0238dka,1376,42,stable,stable,0.0,0.0,0.0,0.0
universal_0239aka,1579,53,stable,stable,0.0,0.0,0.0,0.0
universal_0239bka,1386,45,stable,stable,0.0,0.0,0.0,0.0
universal_0239cka,1549,48,stable,stable,0.0,0.0,0.0,0.0
universal_0240aka,1485,47,explosion,stable,2.1,76.6,6.4,0.0
universal_0245aka,1834,61,stable,stable,0.0,0.0,0.0,0.0
universal_0245bka,878,22,stable,stable,0.0,0.0,0.0,0.0
universal_0247ka,1617,51,stable,stable,2.0,0.0,0.0,0.0
universal_0260ka,1609,50,explosion,stable,2.0,70.0,8.0,0.0
universal_0276ka,1765,52,stable,stable,0.0,0.0,0.0,0.0
universal_0320ka,1529,47,stable,stable,2.1,0.0,0.0,0.0
universal_0328ka,2044,66,stable,stable,6.1,16.7,4.5,0.0
universal_0331aka,2030,65,collapse,stable,35.4,23.1,9.2,0.0
universal_0331bka,2043,65,stable,stable,10.8,13.8,12.3,0.0
universal_0332ka,2036,65,stable,stable,9.2,0.0,3.1,0.0
universal_0344ka,2070,67,stable,stable,7.5,0.0,43.3,0.0
universal_0356ka,1945,64,stable,stable,17.2,17.2,6.2,0.0
universal_0357ka,1942,64,stable,stable,0.0,0.0,0.0,0.0
universal_0365ka,1955,64,stable,stable,12.5,21.9,4.7,0.0
universal_0386ka,2225,71,stable,stable,0.0,0.0,0.0,0.0
universal_0423ka,1469,43,explosion,stable,18.6,95.3,37.2,0.0
universal_0439ka,1516,48,stable,stable,8.3,8.3,2.1,0.0
universal_0446ka,1602,54,stable,stable,0.0,0.0,0.0,0.0
universal_0454ka,1407,43,stable,stable,11.6,9.3,4.7,0.0
universal_0489ka,1869,63,stable,stable,9.5,22.2,1.6,0.0
universal_0493aka,1514,51,stable,stable,0.0,0.0,7.8,0.0
universal_0493bka,1456,49,stable,stable,0.0,0.0,0.0,0.0
universal_0504aka,1381,40,stable,stable,0.0,0.0,0.0,0.0
universal_0504bka,1348,40,stable,stable,22.5,7.5,0.0,0.0
universal_0506ka,329,7,stable,stable,0.0,0.0,0.0,0.0
universal_0507ka,1296,39,stable,stable,2.6,0.0,0.0,0.0
universal_0511aka,1787,55,stable,stable,0.0,0.0,0.0,0.0
universal_0511bka,1752,54,stable,stable,3.7,16.7,35.2,0.0
universal_0513ka,2225,71,stable,stable,1.4,0.0,0.0,0.0
universal_0516ka,2225,71,stable,stable,0.0,0.0,0.0,0.0
universal_0517ka,1946,60,stable,stable,0.0,0.0,71.7,0.0
universal_0521ka,1626,44,stable,stable,0.0,0.0,0.0,0.0
universal_0564ka,1776,55,stable,stable,0.0,0.0,32.7,0.0
universal_0569ka,1992,65,stable,stable,4.6,0.0,0.0,0.0
universal_0572ka,2225,71,stable,stable,0.0,0.0,0.0,0.0
universal_0573ka,1744,50,stable,stable,0.0,0.0,0.0,0.0
universal_0577ka,1421,49,stable,stable,0.0,0.0,30.6,0.0
universal_0582ka,2225,71,stable,stable,0.0,0.0,0.0,0.0
universal_0612ka,1578,48,stable,stable,0.0,0.0,8.3,0.0
universal_0668ka,1540,51,explosion,stable,19.6,100.0,2.0,0.0
universal_0798ka,1779,58,stable,stable,0.0,0.0,0.0,0.0
universal_0822ka,1236,34,stable,stable,0.0,0.0,0.0,0.0
universal_0837ka,1411,40,explosion,stable,0.0,97.5,0.0,0.0
universal_0889aka,2085,69,both,stable,49.3,97.1,11.6,0.0
universal_0889bka,2085,69,both,stable,47.8,100.0,18.8,0.0
universal_0917aka,1550,52,explosion,stable,28.8,100.0,21.2,0.0
universal_0917bka,1989,64,both,stable,48.4,92.2,25.0,0.0
universal_0917cka,1407,42,both,stable,52.4,81.0,16.7,0.0
universal_0964aka,1910,59,both,stable,37.3,100.0,25.4,0.0
universal_0964bka,1903,59,both,stable,52.5,96.6,13.6,0.0
universal_0982ka,1108,28,stable,stable,0.0,0.0,0.0,0.0
universal_0983ka,1140,29,stable,stable,0.0,0.0,10.3,0.0
universal_1027aka,1882,59,both,stable,54.2,94.9,23.7,0.0
universal_1027bka,1882,59,stable,stable,3.4,0.0,0.0,0.0
universal_1027cka,1882,59,stable,stable,5.1,0.0,0.0,0.0
universal_1028aka,1882,59,both,stable,45.8,98.3,3.4,0.0
universal_1028bka,1882,59,stable,stable,0.0,0.0,0.0,0.0
universal_1028cka,1882,59,stable,stable,6.8,0.0,0.0,0.0
universal_1053ka,2225,71,stable,stable,0.0,0.0,0.0,0.0
universal_1111ka,1687,56,stable,stable,5.4,0.0,0.0,0.0
universal_1114ka,1003,26,stable,stable,19.2,34.6,15.4,0.0
universal_1142aka,1143,30,stable,stable,30.0,0.0,0.0,0.0
universal_1142bka,1143,30,stable,stable,10.0,3.3,0.0,0.0
universal_1152ka,1425,43,stable,stable,0.0,0.0,2.3,0.0
universal_1163ka,1904,55,stable,stable,0.0,0.0,12.7,0.0
universal_1216ka,1837,62,stable,stable,3.2,11.3,0.0,0.0
universal_1267aka,1548,49,stable,stable,4.1,10.2,18.4,0.0
universal_1267bka,1548,49,both,stable,81.6,51.0,44.9,0.0
universal_1334aka,1366,40,stable,stable,0.0,0.0,60.0,0.0
universal_1334bka,1332,39,both,stable,53.8,56.4,0.0,5.1
universal_1334cka,1310,38,stable,stable,0.0,0.0,0.0,0.0
universal_1341ka,1598,49,stable,stable,0.0,0.0,0.0,0.0
universal_1349ka,1637,51,explosion,stable,0.0,54.9,35.3,0.0
universal_1372ka,1347,35,stable,stable,2.9,0.0,0.0,0.0
universal_1415ka,1595,44,stable,stable,2.3,0.0,0.0,0.0
universal_1427ka,1386,41,collapse,stable,51.2,7.3,7.3,0.0
universal_1430ka,1404,35,stable,stable,0.0,0.0,0.0,0.0
universal_1431mka,1743,50,stable,stable,4.0,0.0,0.0,0.0
universal_1431nka,1743,50,stable,stable,2.0,0.0,0.0,0.0
universal_1434ka,1546,42,stable,stable,0.0,0.0,0.0,0.0
universal_1436ka,1627,44,stable,stable,11.4,18.2,2.3,0.0
universal_1499ka,1446,44,stable,stable,0.0,0.0,0.0,0.0
universal_1531ka,1469,41,explosion,stable,2.4,85.4,0.0,0.0
universal_1534ka,1550,52,explosion,stable,3.8,82.7,0.0,0.0
universal_1537ka,1003,26,explosion,stable,0.0,100.0,0.0,0.0
universal_1544ka,1542,47,explosion,stable,0.0,95.7,0.0,0.0
universal_1545ka,1677,46,explosion,stable,2.2,97.8,2.2,0.0
universal_1546aka,1661,51,explosion,stable,15.7,100.0,2.0,0.0
universal_1546bka,1661,51,explosion,stable,3.9,74.5,3.9,0.0
universal_1548aka,2085,69,explosion,stable,18.8,100.0,1.4,0.0
universal_1548bka,2085,69,explosion,stable,1.4,81.2,0.0,0.0
universal_1549ka,1989,64,explosion,stable,0.0,98.4,0.0,0.0
universal_1550ka,1516,45,explosion,stable,0.0,100.0,2.2,0.0
universal_1559ka,1674,49,explosion,stable,0.0,98.0,2.0,0.0
universal_1560ka,1696,55,explosion,stable,0.0,94.5,0.0,0.0
universal_1561ka,1775,50,explosion,stable,4.0,90.0,0.0,0.0
universal_1586ka,1422,41,stable,stable,2.4,0.0,0.0,0.0
universal_1589ka,1453,42,explosion,stable,4.8,95.2,0.0,0.0
universal_1591ka,1258,38,stable,stable,0.0,0.0,0.0,0.0
universal_1592ka,1273,38,stable,stable,0.0,0.0,0.0,0.0
universal_1593ka,1017,27,stable,stable,0.0,0.0,0.0,0.0
